[2026-09-22T06:34:46.733Z] [TEST-001] 騎士:林志明 | 商家:可不可熟成紅茶 站前店 [飲料手搖] | 直線距離:6.2km | 運費:$79 (稍遠加價 +$30) | 送往:台北市中正區忠孝西路一段66號
[2026-09-22T07:04:12.411Z] [ORD-101] 騎士:黃俊傑 | 商家:森森熊咖啡廳 [飲料手搖] | 直線距離:1.1km | 運費:$49 (標準運費) | 送往:台北車站
[2026-09-22T07:08:04.849Z] [ORD-102] 騎士:蔡宏偉 | 商家:幸運鍋牛南洋沏茶工作室 [一般餐飲] | 直線距離:2.5km | 運費:$49 (標準運費) | 送往:台北市中山區新生北路二段72巷11號
[2026-09-22T07:10:45.558Z] [ORD-103] 騎士:陳小豪 | 商家:自性餐飲店 [飲料手搖] | 直線距離:8.9km | 運費:$79 (稍遠加價 +$30) | 送往:台北市大安區大安路一段52巷29號
[2026-09-22T07:17:00.224Z] [ORD-104] 騎士:吳美玲 | 商家:承珊驛站咖啡坊 [飲料手搖] | 直線距離:3.3km | 運費:$49 (標準運費) | 送往:台北市內湖區江南街71巷16弄20號
[2026-09-22T07:22:41.841Z] [ORD-105] 騎士:林志明 | 商家:欣雅冰品店 [飲料手搖] | 直線距離:3.7km | 運費:$49 (標準運費) | 送往:台北市內湖區舊宗路二段121巷44號
[2026-09-22T07:29:55.824Z] [ORD-102] 騎士:吳美玲 | 商家:可不可熟成紅茶 汐止忠孝店 [飲料手搖] | 直線距離:0.5km | 運費:$49 (標準運費) | 送往:新北市汐止區中正路237巷11號
[2026-09-22T07:36:47.412Z] [ORD-103] 騎士:吳美玲 | 商家:湖映咖啡館 [飲料手搖] | 直線距離:10.5km | 運費:$79 (稍遠加價 +$30) | 送往:新北市汐止區樟樹二路349號
[2026-09-23T04:44:08.793Z] [ORD-101] 騎士:吳美玲 | 商家:民生刈包小吃店 [一般餐飲] | 直線距離:1.0km | 運費:$49 (標準運費) | 送往:台北市松山區延壽街168號
[2026-09-23T05:18:29.066Z] [ORD-101] 騎士:蔡宏偉 | 商家:娘家小吃店 [一般餐飲] | 直線距離:1.2km | 運費:$49 (標準運費) | 送往:台北市松山區三民路68巷1之3號
[2026-09-23T05:29:10.455Z] [ORD-102] 騎士:陳小豪 | 商家:承珊驛站咖啡坊 [飲料手搖] | 直線距離:2.7km | 運費:$49 (標準運費) | 送往:台北市松山區南京東路三段303巷8弄3號
[2026-09-23T05:31:59.959Z] [ORD-102] 騎士:蔡宏偉 | 商家:歡喜吃坊 [一般餐飲] | 直線距離:1.2km | 運費:$49 (標準運費) | 送往:台北市松山區民生東路五段36巷4弄35號
[2026-09-23T12:56:54.443Z] [ORD-101] 騎士:林志明 | 商家:福禱餐飲店 [飲料手搖] | 直線距離:1.3km | 運費:$49 (標準運費) | 送往:台北市大安區敦化南路一段178號
[2026-09-23T13:13:43.887Z] [ORD-101] 騎士:陳小豪 | 商家:睡男孩食力餐飲行 [飲料手搖] | 直線距離:0.6km | 運費:$49 (標準運費) | 送往:台北市松山區敦化北路165巷18號
[2026-09-23T13:16:43.282Z] [ORD-102] 騎士:蔡宏偉 | 商家:和樂食堂 [一般餐飲] | 直線距離:1.3km | 運費:$49 (標準運費) | 送往:台北市大安區大安路一段 16 巷21號
[2026-09-23T13:21:56.857Z] [ORD-101] 騎士:蘇敏琪 | 商家:禾楠早午餐店 [一般餐飲] | 直線距離:3.4km | 運費:$49 (標準運費) | 送往:台北市大安區大安路二段141巷7號
[2026-09-23T13:40:04.762Z] [ORD-101] 騎士:謝博安 | 商家:龍馬食堂 [一般餐飲] | 直線距離:0.4km | 運費:$49 (標準運費) | 送往:台北市中山區遼寧街185巷11號
[2026-09-23T14:15:35.496Z] [ORD-102] 騎士:何承祐 | 商家:坂本小吃店 [一般餐飲] | 直線距離:0.3km | 運費:$49 (標準運費) | 送往:台北市松山區長春路502號
[2026-09-23T14:27:27.742Z] [ORD-103] 騎士:何承祐 | 商家:坂本小吃店 [一般餐飲] | 直線距離:0.3km | 運費:$49 (標準運費) | 送往:台北市松山區長春路502號
[2026-09-23T15:28:04.786Z] [ORD-101] 騎士:蘇敏琪 | 商家:興町小吃店 [一般餐飲] | 直線距離:0.5km | 運費:$49 (標準運費) | 送往:台北市中山區龍江路61號
[2026-09-23T15:29:51.293Z] [ORD-102] 騎士:張雅晴 | 商家:嘉隆軒餐飲企業社 [一般餐飲] | 直線距離:1.2km | 運費:$49 (標準運費) | 送往:台北市松山區敦化北路244巷6弄16號
[2026-09-23T15:31:55.144Z] [ORD-103] 騎士:吳美玲 | 商家:燉點咖啡 [飲料手搖] | 直線距離:2.5km | 運費:$49 (標準運費) | 送往:台北市松山區復興北路427巷15號
[2026-09-23T15:54:30.457Z] [ORD-101] 騎士:李婉如 | 商家:呷就霸早餐店 [一般餐飲] | 直線距離:0.9km | 運費:$49 (標準運費) | 送往:台北市中山區民生東路一段48號
[2026-09-23T15:56:09.577Z] [ORD-102] 騎士:林志明 | 商家:爸媽睡了喫茶店 [飲料手搖] | 直線距離:1.1km | 運費:$49 (標準運費) | 送往:台北市中山區林森北路399巷23號
[2026-09-23T16:04:07.687Z] [ORD-101] 騎士:郭于萱 | 商家:京宴小吃店 [一般餐飲] | 直線距離:0.8km | 運費:$49 (標準運費) | 送往:台北市中正區市民大道一段100號
[2026-09-23T16:07:05.345Z] [ORD-102] 騎士:陳小豪 | 商家:阿蔡小吃店 [一般餐飲] | 直線距離:3.0km | 運費:$49 (標準運費) | 送往:台北市中正區忠孝西路一段80號
[2026-09-23T16:08:15.101Z] [ORD-103] 騎士:何承祐 | 商家:銓一小吃店 [一般餐飲] | 直線距離:1.3km | 運費:$49 (標準運費) | 送往:台北市中正區汀州路一段112號
[2026-09-23T16:08:38.319Z] [ORD-104] 騎士:廖建良 | 商家:師大食堂 [一般餐飲] | 直線距離:2.1km | 運費:$49 (標準運費) | 送往:台北市大安區新生南路二段2巷91號
[2026-09-23T16:12:09.195Z] [ORD-105] 騎士:周冠宇 | 商家:日暮咖啡 [飲料手搖] | 直線距離:2.5km | 運費:$49 (標準運費) | 送往:台北市大安區主步道104號
